StudentID,Name,FormType,MCQ_Number,Answer,InstructorName,CourseName,Comments,Sentiment,Emotion,Topic
3,Student_3,Instructor,10,D,Instructor_1,,Poor explanation,Negative,neutral,116
4,Student_4,Online Education,1,A,,,Helpful resources provided,Neutral,neutral,91
4,Student_4,Online Education,2,C,,,Very good experience,Positive,joy,27
4,Student_4,Online Education,3,D,,,Instructor was helpful,Neutral,neutral,70
4,Student_4,Online Education,4,B,,,Too fast paced,Positive,neutral,32
4,Student_4,Online Education,5,C,,,Great content,Positive,joy,117
4,Student_4,Online Education,6,D,,,Poor explanation,Negative,neutral,116
4,Student_4,Online Education,7,A,,,Excellent course,Positive,neutral,35
4,Student_4,Online Education,8,B,,,Well structured,Neutral,neutral,83
4,Student_4,Online Education,9,C,,,Loved the course,Positive,joy,107
4,Student_4,Online Education,10,D,,,Could be better,Positive,neutral,65
4,Student_4,Course,1,A,,Course_1,Needs improvement,Neutral,neutral,-1
4,Student_4,Course,2,B,,Course_1,Too fast paced,Positive,neutral,32
4,Student_4,Course,3,C,,Course_1,Helpful resources provided,Neutral,neutral,91
4,Student_4,Course,4,D,,Course_1,Excellent course,Positive,neutral,35
4,Student_4,Course,5,B,,Course_1,Well structured,Neutral,neutral,83
4,Student_4,Course,6,A,,Course_1,Instructor was helpful,Neutral,neutral,70
4,Student_4,Course,7,D,,Course_1,Very good experience,Positive,joy,27
4,Student_4,Course,8,C,,Course_1,Poor explanation,Negative,neutral,116
4,Student_4,Course,9,B,,Course_1,Could be better,Positive,neutral,65
4,Student_4,Course,10,A,,Course_1,Loved the course,Positive,joy,107
4,Student_4,Instructor,1,B,Instructor_1,,Instructor was helpful,Neutral,neutral,70
4,Student_4,Instructor,2,C,Instructor_1,,Needs improvement,Neutral,neutral,-1
4,Student_4,Instructor,3,A,Instructor_1,,Great content,Positive,joy,117
4,Student_4,Instructor,4,D,Instructor_1,,Helpful resources provided,Neutral,neutral,91
4,Student_4,Instructor,5,B,Instructor_1,,Too fast paced,Positive,neutral,32
4,Student_4,Instructor,6,C,Instructor_1,,Well structured,Neutral,neutral,83
4,Student_4,Instructor,7,D,Instructor_1,,Loved the course,Positive,joy,107
4,Student_4,Instructor,8,A,Instructor_1,,Excellent course,Positive,neutral,35
4,Student_4,Instructor,9,C,Instructor_1,,Poor explanation,Negative,neutral,116
4,Student_4,Instructor,10,B,Instructor_1,,Very good experience,Positive,joy,27
5,Student_5,Online Education,1,A,,,The portal was smooth,Positive,neutral,69
5,Student_5,Online Education,2,C,,,Sometimes slow,Negative,neutral,18
5,Student_5,Online Education,3,B,,,Good communication,Positive,neutral,115
5,Student_5,Online Education,4,D,,,Helpful videos,Neutral,neutral,88
5,Student_5,Online Education,5,A,,,Overall satisfied,Positive,joy,22
5,Student_5,Online Education,6,C,,,Resources were clear,Positive,neutral,58
5,Student_5,Online Education,7,B,,,Interactive learning,Neutral,neutral,51
5,Student_5,Online Education,8,D,,,Easy to access,Positive,neutral,52
5,Student_5,Online Education,9,A,,,Well managed,Neutral,neutral,22
5,Student_5,Online Education,10,C,,,Good online support,Positive,neutral,78
5,Student_5,Course,1,B,,Course_1,Content was useful,Positive,neutral,47
5,Student_5,Course,2,A,,Course_1,Assignments were fair,Positive,neutral,40
5,Student_5,Course,3,C,,Course_1,Challenging but rewarding,Positive,joy,71
5,Student_5,Course,4,D,,Course_1,Well organized,Neutral,neutral,46
5,Student_5,Course,5,A,,Course_1,Improved understanding,Neutral,neutral,-1
5,Student_5,Course,6,B,,Course_1,Interesting topics,Positive,neutral,71
5,Student_5,Course,7,D,,Course_1,Clearly explained,Positive,neutral,23
5,Student_5,Course,8,C,,Course_1,Resources were helpful,Neutral,neutral,28
5,Student_5,Course,9,A,,Course_1,Good balance,Positive,neutral,22
5,Student_5,Course,10,B,,Course_1,Learned a lot,Neutral,neutral,-1
5,Student_5,Instructor,1,A,Instructor_1,Course_1,Clear teaching,Positive,neutral,39
5,Student_5,Instructor,2,B,Instructor_1,Course_1,Helpful teacher,Neutral,neutral,70
5,Student_5,Instructor,3,D,Instructor_1,Course_1,Supportive approach,Positive,neutral,36
5,Student_5,Instructor,4,C,Instructor_1,Course_1,Good examples,Positive,neutral,34
5,Student_5,Instructor,5,A,Instructor_1,Course_1,Respectful,Positive,neutral,22
5,Student_5,Instructor,6,B,Instructor_1,Course_1,Well prepared,Neutral,neutral,83
5,Student_5,Instructor,7,C,Instructor_1,Course_1,Interactive style,Neutral,neutral,5
5,Student_5,Instructor,8,D,Instructor_1,Course_1,Encouraged learning,Neutral,joy,38
5,Student_5,Instructor,9,A,Instructor_1,Course_1,Easy to approach,Positive,neutral,52
5,Student_5,Instructor,10,B,Instructor_1,Course_1,Patient teacher,Neutral,disgust,82
6,Student_6,Online Education,1,B,,,The online platform is easy to use,Positive,joy,78
6,Student_6,Online Education,2,C,,,Good learning experience,Positive,neutral,-1
6,Student_6,Online Education,3,A,,,Sometimes slow loading,Negative,sadness,14
6,Student_6,Online Education,4,D,,,Helpful resources,Neutral,neutral,91
6,Student_6,Online Education,5,B,,,User-friendly interface,Neutral,neutral,53
6,Student_6,Online Education,6,A,,,Better than expected,Positive,joy,65
6,Student_6,Online Education,7,C,,,Enjoyed video lectures,Positive,joy,88
6,Student_6,Online Education,8,D,,,Quizzes were engaging,Positive,neutral,81
6,Student_6,Online Education,9,B,,,Smooth navigation,Positive,neutral,69
6,Student_6,Online Education,10,A,,,Overall satisfied,Positive,joy,22
6,Student_6,Course,1,A,,Course_1,Course was well-structured,Neutral,neutral,13
6,Student_6,Course,2,B,,Course_1,Content was clear,Positive,neutral,13
6,Student_6,Course,3,C,,Course_1,Assignments were helpful,Neutral,neutral,17
6,Student_6,Course,4,D,,Course_1,Could use more examples,Positive,neutral,34
6,Student_6,Course,5,A,,Course_1,Good reference materials,Positive,neutral,119
6,Student_6,Course,6,B,,Course_1,Challenging but useful,Positive,joy,71
6,Student_6,Course,7,D,,Course_1,Need more practical work,Positive,neutral,73
6,Student_6,Course,8,C,,Course_1,Exams were fair,Positive,neutral,-1
6,Student_6,Course,9,B,,Course_1,Learnt a lot,Neutral,neutral,-1
6,Student_6,Course,10,A,,Course_1,Overall good course,Positive,neutral,35
6,Student_6,Instructor,1,B,Instructor_1,,Instructor explained well,Neutral,neutral,72
6,Student_6,Instructor,2,C,Instructor_1,,Clear communication,Positive,neutral,13
6,Student_6,Instructor,3,D,Instructor_1,,Helpful in doubts,Neutral,fear,37
6,Student_6,Instructor,4,A,Instructor_1,,Interactive sessions,Neutral,neutral,125
6,Student_6,Instructor,5,C,Instructor_1,,Supportive nature,Positive,joy,36
6,Student_6,Instructor,6,B,Instructor_1,,Sometimes fast paced,Positive,neutral,32
6,Student_6,Instructor,7,A,Instructor_1,,Encouraging feedback,Neutral,joy,24
6,Student_6,Instructor,8,D,Instructor_1,,Managed class well,Neutral,neutral,38
6,Student_6,Instructor,9,B,Instructor_1,,Motivated students,Neutral,neutral,0
6,Student_6,Instructor,10,C,Instructor_1,,Great teaching overall,Positive,joy,-1
StudentID,Name,FormType,MCQ_Number,Answer,InstructorName,CourseName,Comments,Neutral,neutral,24
7,Student_7,Online Education,1,A,,,The platform was easy to access,Positive,joy,78
7,Student_7,Online Education,2,B,,,Sometimes slow during peak hours,Negative,neutral,14
7,Student_7,Online Education,3,D,,,Helpful online resources,Neutral,neutral,91
7,Student_7,Online Education,4,C,,,Interface could be improved,Neutral,neutral,53
7,Student_7,Online Education,5,A,,,Videos were very clear,Positive,neutral,-1
7,Student_7,Online Education,6,D,,,Quizzes were interactive,Neutral,neutral,81
7,Student_7,Online Education,7,B,,,Sometimes faced login issues,Neutral,sadness,76
7,Student_7,Online Education,8,C,,,Assignments were manageable,Neutral,neutral,17
7,Student_7,Online Education,9,A,,,Navigation was smooth,Positive,neutral,69
7,Student_7,Online Education,10,B,,,Overall online learning was good,Positive,joy,-1
7,Student_7,Course,1,B,,Course_2,Course content was detailed,Positive,neutral,13
7,Student_7,Course,2,C,,Course_2,Assignments were relevant,Positive,neutral,57
7,Student_7,Course,3,D,,Course_2,Examples were very helpful,Positive,neutral,34
7,Student_7,Course,4,A,,Course_2,Quizzes tested knowledge well,Neutral,neutral,64
7,Student_7,Course,5,C,,Course_2,Some topics were difficult,Negative,neutral,50
7,Student_7,Course,6,B,,Course_2,Course improved understanding,Neutral,neutral,-1
7,Student_7,Course,7,A,,Course_2,Learning material was good,Positive,joy,68
7,Student_7,Course,8,D,,Course_2,Could add more case studies,Positive,neutral,19
7,Student_7,Course,9,B,,Course_2,Practical knowledge improved,Neutral,neutral,75
7,Student_7,Course,10,C,,Course_2,Overall a useful course,Positive,joy,13
7,Student_7,Instructor,1,C,Instructor_2,,Instructor taught with clarity,Neutral,neutral,70
7,Student_7,Instructor,2,B,Instructor_2,,Answered doubts effectively,Positive,fear,37
7,Student_7,Instructor,3,D,Instructor_2,,Encouraged participation,Neutral,joy,3
7,Student_7,Instructor,4,A,Instructor_2,,Used examples to explain,Neutral,neutral,87
7,Student_7,Instructor,5,B,Instructor_2,,Sometimes lectures were fast,Positive,surprise,84
7,Student_7,Instructor,6,C,Instructor_2,,Provided useful feedback,Positive,neutral,24
7,Student_7,Instructor,7,A,Instructor_2,,Interactive teaching style,Neutral,neutral,51
7,Student_7,Instructor,8,D,Instructor_2,,Kept class disciplined,Neutral,disgust,-1
7,Student_7,Instructor,9,B,Instructor_2,,Motivated the students,Neutral,neutral,0
7,Student_7,Instructor,10,C,Instructor_2,,Overall a very good teacher,Positive,joy,93
8,Student_8,Online Education,1,A,,,Easy to access from home,Positive,neutral,52
8,Student_8,Online Education,2,C,,,Platform sometimes lagged,Neutral,neutral,14
8,Student_8,Online Education,3,B,,,Resources were complete,Neutral,neutral,55
8,Student_8,Online Education,4,D,,,Interface was simple,Neutral,neutral,53
8,Student_8,Online Education,5,A,,,Good overall design,Positive,neutral,22
8,Student_8,Online Education,6,C,,,Helpful quizzes,Neutral,neutral,29
8,Student_8,Online Education,7,B,,,Faced minor login issues,Neutral,sadness,76
8,Student_8,Online Education,8,D,,,Assignments were fine,Positive,neutral,40
8,Student_8,Online Education,9,A,,,Smooth video playback,Positive,neutral,-1
8,Student_8,Online Education,10,B,,,Overall satisfied,Positive,joy,22
8,Student_8,Course,1,B,,Course_3,Course content was well explained,Neutral,neutral,13
8,Student_8,Course,2,D,,Course_3,Assignments were practical,Neutral,neutral,-1
8,Student_8,Course,3,A,,Course_3,Examples improved clarity,Neutral,neutral,-1
8,Student_8,Course,4,C,,Course_3,Some parts were lengthy,Neutral,neutral,50
8,Student_8,Course,5,B,,Course_3,Good exercises,Positive,neutral,65
8,Student_8,Course,6,A,,Course_3,Learned new concepts,Positive,neutral,75
8,Student_8,Course,7,C,,Course_3,Could use more real-world cases,Positive,neutral,15
8,Student_8,Course,8,D,,Course_3,Tests were fair,Positive,neutral,-1
8,Student_8,Course,9,B,,Course_3,Learned valuable knowledge,Neutral,neutral,75
8,Student_8,Course,10,A,,Course_3,Overall helpful,Neutral,neutral,56
8,Student_8,Instructor,1,C,Instructor_3,,Explained topics clearly,Positive,neutral,89
8,Student_8,Instructor,2,A,Instructor_3,,Encouraged students,Neutral,joy,38
8,Student_8,Instructor,3,B,Instructor_3,,Answered queries well,Neutral,neutral,92
8,Student_8,Instructor,4,D,Instructor_3,,Used practical examples,Neutral,neutral,15
8,Student_8,Instructor,5,C,Instructor_3,,Sometimes spoke too fast,Positive,neutral,26
8,Student_8,Instructor,6,A,Instructor_3,,Interactive style,Neutral,neutral,5
8,Student_8,Instructor,7,B,Instructor_3,,Supportive behavior,Positive,disgust,36
8,Student_8,Instructor,8,D,Instructor_3,,Gave timely feedback,Neutral,neutral,24
8,Student_8,Instructor,9,C,Instructor_3,,Maintained discipline,Neutral,sadness,1
8,Student_8,Instructor,10,A,Instructor_3,,Overall excellent teacher,Positive,joy,82
9,Student_9,Online Education,1,B,,,Good platform performance,Positive,neutral,44
9,Student_9,Online Education,2,C,,,Occasional issues with speed,Neutral,neutral,14
9,Student_9,Online Education,3,A,,,Resources were sufficient,Neutral,neutral,43
9,Student_9,Online Education,4,D,,,Interface could be better,Positive,neutral,53
9,Student_9,Online Education,5,B,,,Video quality was good,Positive,neutral,-1
9,Student_9,Online Education,6,A,,,Quizzes were useful,Positive,neutral,29
9,Student_9,Online Education,7,C,,,Faced some login problems,Neutral,sadness,76
9,Student_9,Online Education,8,D,,,Assignments clear,Positive,neutral,25
9,Student_9,Online Education,9,B,,,Navigation easy,Positive,neutral,59
9,Student_9,Online Education,10,A,,,Overall good learning,Positive,joy,-1
9,Student_9,Course,1,C,,Course_4,Content was structured,Neutral,neutral,83
9,Student_9,Course,2,A,,Course_4,Assignments were clear,Positive,neutral,25
9,Student_9,Course,3,D,,Course_4,Examples very useful,Positive,neutral,62
9,Student_9,Course,4,B,,Course_4,Some topics were tough,Negative,disgust,50
9,Student_9,Course,5,A,,Course_4,Provided enough material,Neutral,neutral,-1
9,Student_9,Course,6,C,,Course_4,Learned step by step,Neutral,neutral,75
9,Student_9,Course,7,B,,Course_4,Could have more practice,Positive,neutral,65
9,Student_9,Course,8,D,,Course_4,Exams were fair,Positive,neutral,-1
9,Student_9,Course,9,A,,Course_4,Course improved knowledge,Neutral,neutral,75
9,Student_9,Course,10,B,,Course_4,Overall very good,Positive,joy,22
9,Student_9,Instructor,1,A,Instructor_4,,Instructor communicated well,Neutral,neutral,70
9,Student_9,Instructor,2,B,Instructor_4,,Cleared all doubts,Neutral,fear,37
9,Student_9,Instructor,3,C,Instructor_4,,Explained with examples,Neutral,neutral,87
9,Student_9,Instructor,4,D,Instructor_4,,Sometimes rushed lectures,Neutral,anger,84
9,Student_9,Instructor,5,A,Instructor_4,,Supportive guidance,Positive,neutral,36
9,Student_9,Instructor,6,B,Instructor_4,,Encouraged participation,Neutral,joy,3
9,Student_9,Instructor,7,C,Instructor_4,,Interactive sessions,Neutral,neutral,125
9,Student_9,Instructor,8,D,Instructor_4,,Fair grading,Positive,neutral,-1
9,Student_9,Instructor,9,A,Instructor_4,,Motivated students,Neutral,neutral,0
9,Student_9,Instructor,10,B,Instructor_4,,Overall a good teacher,Positive,joy,93
10,Student_10,Online Education,1,C,,,Platform was reliable,Neutral,neutral,30
10,Student_10,Online Education,2,A,,,Minor lags at times,Neutral,sadness,14
10,Student_10,Online Education,3,B,,,Resources easily available,Positive,neutral,33
10,Student_10,Online Education,4,D,,,Layout simple,Neutral,neutral,20
10,Student_10,Online Education,5,C,,,Quizzes engaging,Positive,joy,11
10,Student_10,Online Education,6,B,,,Assignments were good,Positive,neutral,40
10,Student_10,Online Education,7,A,,,Login easy,Positive,neutral,61
10,Student_10,Online Education,8,D,,,Videos were smooth,Positive,neutral,-1
10,Student_10,Online Education,9,C,,,Overall experience was good,Positive,joy,27
10,Student_10,Online Education,10,B,,,Very helpful platform,Positive,neutral,44
10,Student_10,Course,1,A,,Course_5,Content well structured,Neutral,neutral,83
10,Student_10,Course,2,B,,Course_5,Assignments were tough,Negative,neutral,40
10,Student_10,Course,3,D,,Course_5,Examples were relevant,Positive,neutral,-1
10,Student_10,Course,4,C,,Course_5,Some chapters lengthy,Neutral,neutral,50
10,Student_10,Course,5,A,,Course_5,Learned new ideas,Positive,neutral,75
10,Student_10,Course,6,D,,Course_5,Good practice exercises,Positive,neutral,65
10,Student_10,Course,7,B,,Course_5,Exams were moderate,Neutral,neutral,-1
10,Student_10,Course,8,C,,Course_5,Practical knowledge improved,Neutral,neutral,75
10,Student_10,Course,9,A,,Course_5,Overall well designed,Neutral,neutral,22
10,Student_10,Course,10,B,,Course_5,Very helpful course,Positive,neutral,13
10,Student_10,Instructor,1,B,Instructor_5,,Instructor explained clearly,Positive,neutral,23
10,Student_10,Instructor,2,C,Instructor_5,,Guided properly,Neutral,neutral,83
10,Student_10,Instructor,3,D,Instructor_5,,Sometimes rushed,Neutral,anger,14
10,Student_10,Instructor,4,A,Instructor_5,,Used real examples,Positive,neutral,15
10,Student_10,Instructor,5,B,Instructor_5,,Supportive teacher,Positive,joy,36
10,Student_10,Instructor,6,C,Instructor_5,,Good communicator,Positive,neutral,93
10,Student_10,Instructor,7,A,Instructor_5,,Interactive style,Neutral,neutral,5
10,Student_10,Instructor,8,D,Instructor_5,,Fair evaluator,Positive,neutral,-1
10,Student_10,Instructor,9,B,Instructor_5,,Encouraging personality,Neutral,joy,36
10,Student_10,Instructor,10,C,Instructor_5,,Overall very good,Positive,joy,22
11,Student_11,Online Education,1,A,,,Platform was easy to navigate,Positive,neutral,78
11,Student_11,Online Education,2,B,,,Sometimes loading was slow,Negative,sadness,14
11,Student_11,Online Education,3,C,,,Helpful video lectures,Neutral,neutral,88
11,Student_11,Online Education,4,D,,,Quizzes were interactive,Neutral,neutral,81
11,Student_11,Online Education,5,A,,,Study material was accessible,Positive,neutral,41
11,Student_11,Online Education,6,B,,,Interface can be improved,Neutral,neutral,53
11,Student_11,Online Education,7,D,,,Assignments were clear,Positive,neutral,25
11,Student_11,Online Education,8,C,,,Navigation was smooth,Positive,neutral,69
11,Student_11,Online Education,9,A,,,Overall good experience,Positive,joy,27
11,Student_11,Online Education,10,B,,,System was reliable,Neutral,neutral,31
11,Student_11,Course,1,B,,Course_3,Course content was structured,Neutral,neutral,13
11,Student_11,Course,2,C,,Course_3,Assignments tested learning,Neutral,neutral,79
11,Student_11,Course,3,A,,Course_3,Examples improved understanding,Neutral,neutral,34
11,Student_11,Course,4,D,,Course_3,Quizzes were well designed,Neutral,neutral,29
11,Student_11,Course,5,C,,Course_3,Some topics were tough,Negative,disgust,50
11,Student_11,Course,6,B,,Course_3,Course enhanced knowledge,Neutral,neutral,-1
11,Student_11,Course,7,A,,Course_3,Learning material was helpful,Neutral,neutral,68
11,Student_11,Course,8,D,,Course_3,Could add more exercises,Positive,neutral,65
11,Student_11,Course,9,B,,Course_3,Good practical examples,Positive,neutral,15
11,Student_11,Course,10,C,,Course_3,Overall useful course,Positive,neutral,13
11,Student_11,Instructor,1,A,Instructor_3,,Instructor was very clear,Positive,neutral,70
11,Student_11,Instructor,2,B,Instructor_3,,Answered all queries,Neutral,neutral,92
11,Student_11,Instructor,3,D,Instructor_3,,Encouraged students,Neutral,joy,38
11,Student_11,Instructor,4,C,Instructor_3,,Explained with examples,Neutral,neutral,87
11,Student_11,Instructor,5,A,Instructor_3,,Sometimes too fast,Positive,neutral,26
11,Student_11,Instructor,6,B,Instructor_3,,Provided useful notes,Positive,neutral,4
11,Student_11,Instructor,7,C,Instructor_3,,Interactive lectures,Neutral,neutral,-1
11,Student_11,Instructor,8,D,Instructor_3,,Maintained discipline,Neutral,sadness,1
11,Student_11,Instructor,9,B,Instructor_3,,Motivated students,Neutral,neutral,0
11,Student_11,Instructor,10,A,Instructor_3,,Overall great teacher,Positive,joy,-1
12,Student_12,Online Education,1,B,,,Platform was easy to access,Positive,neutral,78
12,Student_12,Online Education,2,A,,,Faced login issues sometimes,Neutral,sadness,76
12,Student_12,Online Education,3,D,,,Good quality lectures,Positive,neutral,88
12,Student_12,Online Education,4,C,,,Quizzes tested knowledge,Neutral,neutral,64
12,Student_12,Online Education,5,B,,,Assignments were manageable,Neutral,neutral,17
12,Student_12,Online Education,6,A,,,Navigation was smooth,Positive,neutral,69
12,Student_12,Online Education,7,C,,,Could improve speed,Neutral,neutral,26
12,Student_12,Online Education,8,D,,,Study material was good,Positive,joy,41
12,Student_12,Online Education,9,A,,,Helpful content,Neutral,neutral,47
12,Student_12,Online Education,10,B,,,Overall good platform,Positive,neutral,44
12,Student_12,Course,1,C,,Course_4,Course content was clear,Positive,neutral,13
12,Student_12,Course,2,A,,Course_4,Assignments were helpful,Neutral,neutral,17
12,Student_12,Course,3,B,,Course_4,Examples improved clarity,Neutral,neutral,-1
12,Student_12,Course,4,D,,Course_4,Quizzes tested skills,Neutral,neutral,64
12,Student_12,Course,5,A,,Course_4,Some concepts were tough,Negative,neutral,67
12,Student_12,Course,6,B,,Course_4,Course improved understanding,Neutral,neutral,-1
12,Student_12,Course,7,C,,Course_4,Learning material was great,Positive,joy,68
12,Student_12,Course,8,D,,Course_4,Needed more practice,Positive,neutral,65
12,Student_12,Course,9,B,,Course_4,Good balance of theory,Positive,neutral,71
12,Student_12,Course,10,A,,Course_4,Overall a valuable course,Neutral,joy,-1
12,Student_12,Instructor,1,B,Instructor_4,,Instructor taught well,Neutral,neutral,70
12,Student_12,Instructor,2,C,Instructor_4,,Answered questions,Neutral,neutral,8
12,Student_12,Instructor,3,A,Instructor_4,,Encouraged students,Neutral,joy,38
12,Student_12,Instructor,4,D,Instructor_4,,Gave clear examples,Positive,neutral,54
12,Student_12,Instructor,5,C,Instructor_4,,Sometimes rushed,Neutral,anger,14
12,Student_12,Instructor,6,B,Instructor_4,,Provided good feedback,Positive,neutral,24
12,Student_12,Instructor,7,D,Instructor_4,,Interactive approach,Neutral,neutral,125
12,Student_12,Instructor,8,A,Instructor_4,,Kept class engaging,Positive,neutral,-1
